codeIataAirport,airportName,codeIataCity,latitudeAirport,longitudeAirport,timezone,airportCity
MTN,Glenn L Martin,BWI,39.321667,-76.41167,America/New_York,Baltimore
ZBP,Baltimore Railway,BWI,,,America/New_York,Baltimore
BWL,Blackwell,BWL,36.8,-97.28333,America/Chicago,Blackwell
BWM,Bowman,BWM,46.183334,-103.4,America/Boise,Bowman
BXA,George R Carr,BXA,30.933332,-89.88333,America/Chicago,Bogalusa
BXC,Boxborough,BXC,42.483334,-71.53333,America/New_York,Boxborough
BXK,Buckeye Municipal,BXK,33.36667,-112.583336,America/Phoenix,Buckeye
BXS,Borrego Springs,BXS,33.343334,-116.32778,America/Los_Angeles,Borrego Springs
BYA,Boundary,BYA,64.076385,-141.11444,America/Anchorage,Boundary
BYG,Municipal,BYG,44.35,-106.7,America/Denver,Buffalo
BYH,Blytheville AFB,BYH,35.933334,-89.916664,America/Chicago,Blytheville
HKA,Municipal,BYH,35.933334,-89.916664,America/Chicago,Blytheville
BYI,Rupert,BYI,42.54139,-113.77417,America/Boise,Rupert
BYS,Bicycle Lake AAF,BYS,35.266666,-116.566666,America/Los_Angeles,Fort Irwin
BYW,Blakely Island,BYW,48.5,-123,America/Los_Angeles,Blakely Island
BZF,Benton Field,RDD,40.5865396,-122.3916754,America/Los_Angeles,Redding
RDD,Redding,RDD,40.505768,-122.29991,America/Los_Angeles,Redding
BZN,Gallatin Field,BZN,45.777687,-111.16033,America/Denver,Bozeman
BZT,Hinkles Ferry,BZT,29.05,-95.566666,America/Chicago,Brazoria
CAD,Cadillac,CAD,44.275833,-85.42222,America/Detroit,Cadillac
CAE,Metropolitan Airport,CAE,33.946907,-81.12501,America/New_York,Columbia
CUB,Owens Field,CAE,33.936943,-81.11528,America/New_York,Columbia
MMT,Mc Entire ANG Base,CAE,33.93667,-81.115555,America/New_York,Columbia
CAO,Clayton,CAO,36.45,-103.183334,America/Denver,Clayton
CAR,Municipal,CAR,46.86667,-68.01667,America/New_York,Caribou
CBA,Corner Bay,CBA,57.716667,-135.2,America/Sitka,Corner Bay
CBE,Greater Cumberland Regional,CBE,39.614445,-78.76611,America/New_York,Cumberland
CBF,Municipal,CBF,41.266666,-95.86667,America/Chicago,Council Bluffs
CBK,Municipal,CBK,39.4,-101.05,America/Chicago,Colby
CBM,Columbus AFB,UBS,33.5,-88.416664,America/Chicago,Columbus
GTR,Golden Triangle Reg.,UBS,33.45,-88.6,America/Chicago,Columbus
UBS,Lowndes County,UBS,33.466667,-88.38333,America/Chicago,Columbus
CBZ,Cabin Creek,CBZ,55.38333,-132.41667,America/Sitka,Cabin Creek
CCA,Chaffee AFB,CCA,35.316666,-94.3,America/Chicago,Fort Chaffee
CCB,Cable Airport,CCB,34.113888,-117.68889,America/Los_Angeles,Upland
JUP,Cable Heliport,CCB,34.1,-117.63333,America/Los_Angeles,Upland
CCD,Century City,LAX,34.066666,-118.26667,America/Los_Angeles,Los Angeles
JBP,Commerce Bus. Plaza,LAX,33.986668,-118.15972,America/Los_Angeles,Los Angeles
JCX,Citicorp Plaza Heliport,LAX,34.066666,-118.25,America/Los_Angeles,Los Angeles
JID,City Of Industry Heliport,LAX,34,-118,America/Los_Angeles,Los Angeles
JLX,Union Station Heliport,LAX,34.166668,-118.333336,America/Los_Angeles,Los Angeles
JSN,Sherman Oaks Heliport,LAX,34.066666,-118.25,America/Los_Angeles,Los Angeles
JUC,Universal City Heliport,LAX,34.083332,-118.26667,America/Los_Angeles,Los Angeles
JWC,Warner Cntr Bus. Plaza,LAX,34.066666,-118.25,America/Los_Angeles,Los Angeles
LAX,Los Angeles International,LAX,33.943398,-118.40828,America/Los_Angeles,Los Angeles
QLO,Los Angeles Ferry Port,LAX,34.0522342,-118.2436849,America/Los_Angeles,Los Angeles
VNY,Van Nuys,LAX,34.2,-118.5,America/Los_Angeles,Los Angeles
WHP,Whiteman,LAX,34.05,-118.25,America/Los_Angeles,Los Angeles
CCG,Crane County Airport,CCG,31.4,-102.35,America/Chicago,Crane
CCR,Buchanan Field,CCR,37.988888,-122.05556,America/Los_Angeles,Concord
CCY,Municipal,CCY,43.066666,-92.683334,America/Chicago,Charles City
CDB,Cold Bay,CDB,55.20457,-162.71774,America/Nome,Cold Bay
CDC,Cedar City,CDC,37.7025,-113.09611,America/Denver,Cedar City
CDH,Harrell Field,CDH,33.583332,-92.833336,America/Chicago,Camden
CDK,Lewis,CDK,29.133333,-83.03333,America/New_York,Cedar Key
CDL,Candle,CDL,65.90806,-161.93834,America/Anchorage,Candle
CDN,Woodward Field,CDN,34.266666,-80.6,America/New_York,Camden
CDR,Chadron,CDR,42.835,-103.09778,America/Denver,Chadron
CDS,Childress,CDS,37.416668,-100.21667,America/Chicago,Childress
CDV,Mudhole Smith,CDV,60.493057,-145.47,America/Anchorage,Cordova
CKU,City,CDV,60.55,-145.75,America/Anchorage,Cordova
CDW,Caldwell Wright,CDW,40.833332,-74.26667,America/New_York,Caldwell
CEC,Mc Namara Field,CEC,41.78,-124.23583,America/Los_Angeles,Crescent City
CEF,Westover ARB/Metropolitan,CEF,42.183376,-72.55383,America/New_York,Chicopee
CEM,Central,CEM,65.57472,-144.78194,America/Anchorage,Central
CEU,Oconee County,CEU,34.683334,-82.833336,America/New_York,Clemson
CEV,Mettle Field,CEV,39.65,-85.13333,America/Indiana/Indianapolis,Connersville
CEW,Bob Sikes,CEW,30.766666,-86.566666,America/Chicago,Crestview
CEX,Chena Hot Springs,CEX,65.05,-146.16667,America/Anchorage,Chena Hot Springs
CEY,Calloway County,CEY,36.61667,-88.316666,America/Chicago,Murray
CEZ,Montezuma County,CEZ,37.302776,-108.62722,America/Denver,Cortez
CFA,Coffee Point,CFA,58.216667,-157.5,America/Anchorage,Coffee Point
CFD,Coulter Field,CFD,30.666668,-96.36667,America/Chicago,Bryan
CFT,Morenci,CFT,33.05,-109.3,America/Phoenix,Clifton
CFV,Municipal,CFV,37.033333,-95.61667,America/Chicago,Coffeyville
CGA,Craig SPB,CGA,55.478382,-133.14616,America/Sitka,Craig
CGE,Cambridge,CGE,38.566666,-76.083336,America/New_York,Cambridge
CGI,Cape Girardeau,CGI,37.22361,-89.57167,America/Chicago,Cape Girardeau
CGS,College Park,CGS,33.666668,-84.45,America/New_York,College Park
CGZ,Municipal,CGZ,32.88333,-111.75,America/Phoenix,Casa Grande
CHA,Lovell Field,CHA,35.036926,-85.197784,America/New_York,Chattanooga
QDK,Greyhound Bus Station,CHA,30.055555,70.50278,America/New_York,Chattanooga
CHI,Chicago FSS,CHI,41.8781136,-87.6297982,America/Chicago,Chicago
DPA,Dupage County,CHI,41.914444,-88.24639,America/Chicago,Chicago
MDW,Midway,CHI,41.788136,-87.74087,America/Chicago,Chicago
NOH,Chicago NAS,CHI,41.880554,-87.61667,America/Chicago,Chicago
ORD,Chicago O'hare International,CHI,41.976913,-87.90488,America/Chicago,Chicago
PWK,Pal-Waukee,CHI,42.114166,-87.901665,America/Chicago,Chicago
RFD,Greater Rockford Airport,CHI,42.30364,-89.222115,America/Chicago,Chicago
ZUN,Chicago Union Railway Station,CHI,41.8781136,-87.6297982,America/Chicago,Chicago
CHK,Municipal,CHK,35.05,-97.96667,America/Chicago,Chickasha
CHL,Challis,CHL,44.5,-114.25,America/Boise,Challis
CHO,Albemarle,CHO,38.139416,-78.44928,America/New_York,Charlottesville
CHP,Circle Hot Springs,CHP,65.46667,-144.58333,America/Anchorage,Circle Hot Springs
CHS,"Charleston, AFB Municipal",CHS,32.884354,-80.037155,America/New_York,Charleston
CHU,Chuathbaluk,CHU,61.583435,-159.23882,America/Anchorage,Chuathbaluk
CHZ,State,CHZ,42.583332,-121.86667,America/Los_Angeles,Chiloquin
CIC,Chico,CIC,39.795834,-121.85667,America/Los_Angeles,Chico
CID,Eastern Iowa Airport,CID,41.889423,-91.7003,America/Chicago,Cedar Rapids
CIG,Craig-Moffat,CIG,40.495556,-107.525,America/Denver,Craig
CIK,Chalkyitsik,CIK,66.648056,-143.72917,America/Anchorage,Chalkyitsik
CIL,Melsing Creek,CIL,64.90833,-163.73334,America/Nome,Council
CIN,Carroll,CIN,42.066666,-94.86667,America/Chicago,Carroll
CIR,Cairo,CIR,37,-89.183334,America/Chicago,Cairo
CIU,Chippewa County,SSM,46.5,-84.35,America/Detroit,Sault Sainte Marie
INR,Kincheloe AFB,SSM,46.5,-84.35,America/Detroit,Sault Sainte Marie
CIV,Chomley,CIV,55.216667,-132.21666,America/Sitka,Chomley
CJN,Gillespie Field,CJN,32.8,-116.96667,America/Los_Angeles,El Cajon
CKA,Kegelman Af,CKA,36.75,-98.35,America/Chicago,Cherokee
CKB,Benedum,CKB,39.295555,-80.22945,America/New_York,Clarksburg
CKD,Crooked Creek,CKD,61.870834,-158.10083,America/Anchorage,Crooked Creek
CKE,Clear Lake,CKE,38.934723,-122.62222,America/Los_Angeles,Clear Lake
CKK,Cherokee,CKK,36.5,-91.86667,America/Chicago,Cherokee
CKM,Fletcher Field,CKM,34.2,-90.583336,America/Chicago,Clarksdale
CKN,Municipal,CKN,47.783333,-96.61667,America/Chicago,Crookston
CKR,Crane Island,CKR,48.6,-123,America/Los_Angeles,Crane Island
CKV,Outlaw Field,CKV,36.620834,-87.414444,America/Chicago,Clarksville
CKX,Chicken,CKX,64.06778,-141.94917,America/Anchorage,Chicken
CLD,Mc Clellan-Palomar Airport,SAN,33.11667,-117.26667,America/Los_Angeles,San Diego
MYF,Montgomery Field,SAN,32.716667,-117.15,America/Los_Angeles,San Diego
NKX,Miramar MS,SAN,32.86667,-117.11667,America/Los_Angeles,San Diego
NZY,North Island NAS,SAN,32.7,-117.2,America/Los_Angeles,San Diego
SAN,San Diego International Airport,SAN,32.731937,-117.19731,America/Los_Angeles,San Diego
SDM,Brown Field Municipalcipal,SAN,32.572224,-116.98,America/Los_Angeles,San Diego
SEE,Gillespie Field,SAN,32.82611,-116.97222,America/Los_Angeles,San Diego
CLG,Coalinga,CLG,36.15,-120.35,America/Los_Angeles,Coalinga
CLI,Clintonville,CLI,42.566666,-88.86667,America/Chicago,Clintonville
CLK,Municipal,CSM,35.538055,-98.9325,America/Chicago,Clinton
CSM,Sherman,CSM,35.539165,-96.933334,America/Chicago,Clinton
CLL,Easterwood Field,CLL,30.593842,-96.36682,America/Chicago,College Station
CLM,Fairchild International,CLM,48.121883,-123.49511,America/Los_Angeles,Port Angeles
CLP,Clarks Point,CLP,58.843056,-158.54306,America/Anchorage,Clarks Point
CLR,Calipatria,CLR,33.13333,-115.51667,America/Los_Angeles,Calipatria
CLS,Centralia,CLS,46.67389,-122.98111,America/Los_Angeles,Chehalis
CLT,Charlotte Douglas,CLT,35.219166,-80.93584,America/New_York,Charlotte
QWG,Wilgrove Air Park,CLT,35.216667,-80.85,America/New_York,Charlotte
CLU,Columbus Municipal,CLU,39.216667,-85.916664,America/Indiana/Indianapolis,Columbus
CLW,Executive,CLW,27.976667,-82.75861,America/New_York,Clearwater
CMH,Port Columbus International,CMH,39.99818,-82.884964,America/New_York,Columbus
LCK,Rickenbacker,CMH,39.816666,-82.933334,America/New_York,Columbus
OSU,Ohio State University,CMH,40.078056,-83.07333,America/New_York,Columbus
CMI,University Of Illinois Willard,CMI,40.039665,-88.26905,America/Chicago,Champaign
CMX,Houghton County,CMX,47.167778,-88.48639,America/Detroit,Hancock
CMY,Fort Mccoy,CMY,44.03347,-90.77897,America/Chicago,Sparta
CNE,Canon City,CNE,38.45,-105.23333,America/Denver,Canon City
CNH,Municipal,CNH,43.38333,-72.333336,America/New_York,Claremont
CNK,Blosser Municipal,CNK,39.566666,-97.666664,America/Chicago,Concordia
CNM,Carlsbad,CNM,32.337223,-104.26278,America/Denver,Carlsbad
CNO,Chino,CNO,33.98083,-117.63917,America/Los_Angeles,Chino
CNU,Martin Johnson,CNU,37.683334,-95.45,America/Chicago,Chanute
CNY,Canyonlands Field,CNY,38.759445,-109.74611,America/Denver,Moab
COA,Columbia,COA,38.02889,-120.41278,America/Los_Angeles,Columbia
COD,Yellowstone Regional,COD,44.515835,-109.0275,America/Denver,Cody
COE,Coeur D'Alene,COE,47.683334,-116.76667,America/Los_Angeles,Coeur D'Alene
COF,Patrick AFB,COI,28.35,-80.73333,America/New_York,Cocoa
COI,Merritt Island,COI,28.316668,-80.6,America/New_York,Cocoa
COM,Coleman,COM,31.833332,-99.433334,America/Chicago,Coleman
CON,Concord,CON,43.2,-71.53333,America/New_York,Concord
COP,Cooperstown - Westville Airport,COP,42.7,-74.933334,America/New_York,Cooperstown
COT,Cotulla,COT,28.433332,-99.23333,America/Chicago,Cotulla
COU,Columbia Regional,COU,38.81361,-92.21917,America/Chicago,Columbia
CPM,Compton,CPM,33.894444,-118.24778,America/Los_Angeles,Compton
CPR,Natrona County International Airport,CPR,42.90861,-106.4625,America/Denver,Casper
CPS,St. Louis Downtown Airport,STL,38.576984,-90.158424,America/Chicago,St Louis
STL,Lambert-St. Louis International,STL,38.74228,-90.36587,America/Chicago,St Louis
SUS,Spirit Of St Louis,STL,38.75,-90.36667,America/Chicago,St Louis
ZSV,St Louis Railway Station,STL,38.6270025,-90.1994042,America/Chicago,St Louis
CRE,Grand Strand Airport,MYR,33.81139,-78.72444,America/New_York,Myrtle Beach
MYR,Myrtle Beach AFB,MYR,33.682674,-78.92294,America/New_York,Myrtle Beach
CRG,Craig Municipal,JAX,30.5,-81.666664,America/New_York,Jacksonville
JAX,"Jacksonville,",JAX,30.491657,-81.68306,America/New_York,Jacksonville
NIP,Jacksonville NAS,JAX,30.25,-81.68056,America/New_York,Jacksonville
VQQ,Cecil Field,JAX,30.333332,-81.65,America/New_York,Jacksonville
CRO,Corcoran,CRO,36.1,-119.55,America/Los_Angeles,Corcoran
CRP,Corpus Christi International Airport,CRP,27.774813,-97.50249,America/Chicago,Corpus Christi
CUX,Cuddihy Field,CRP,27.75,-97.33611,America/Chicago,Corpus Christi
NGP,NAS,CRP,27.7,-97.28333,America/Chicago,Corpus Christi
NGW,Cabaniss Field,CRP,27.783333,-97.4,America/Chicago,Corpus Christi
CRS,Corsicana,CRS,32.1,-96.46667,America/Chicago,Corsicana
CRT,Municipal,CRT,33.13333,-91.96667,America/Chicago,Crossett
CRW,Yeager,CRW,38.370342,-81.596504,America/New_York,Charleston
CRX,Roscoe Turner,CRX,34.9,-88.6,America/Chicago,Corinth
CSE,Crested Butte,CSE,38.86667,-106.98333,America/Denver,Crested Butte
CSL,O Sullivan Army Air Field,CSL,35.236668,-120.63917,America/Los_Angeles,San Luis Obispo
SBP,San Luis County Regional Airport,CSL,35.239113,-120.640625,America/Los_Angeles,San Luis Obispo
CSN,Carson City,CSN,39.191666,-119.73472,America/Los_Angeles,Carson City
CSP,Coast Guard Heliport,CSP,,,America/Juneau,Cape Spencer
CSQ,Municipal,CSQ,41.066666,-94.36667,America/Chicago,Creston
CSV,Memorial,CSV,35.95111,-85.084724,America/Chicago,Crossville
CTB,Cut Bank,CTB,48.63333,-112.333336,America/Denver,Cut Bank
CTH,Chestercounty Carlson,CTH,39.983334,-75.833336,America/New_York,Coatesville
CTK,Canton,CTK,43.3,-96.583336,America/Chicago,Canton
CTO,Peconic River,CTO,38.63333,-77.683334,America/New_York,Calverton
CTW,Cottonwood,CTW,34.733334,-112.03333,America/Phoenix,Cottonwood
CTX,Cortland,CTX,42.6,-76.183334,America/New_York,Cortland
CTY,Cross City,CTY,29.633333,-83.11667,America/New_York,Cross City
CTZ,Sampson County,CTZ,35,-78.36667,America/New_York,Clinton
CUH,Municipal,CUH,35.983334,-96.76667,America/Chicago,Cushing
CUS,Municipal,CUS,31.833332,-107.63333,America/Denver,Columbus
CUW,Cube Cove,CUW,57.941666,-134.75,America/Juneau,Cube Cove
CVG,Cincinnati/Northern Kentucky,CVG,39.0555,-84.66145,America/New_York,Covington
LUK,Cincinnati Municipal-Lunken Field,CVG,39.033333,-84.666664,America/New_York,Covington
CVN,Municipal,CVN,34.427223,-103.07889,America/Denver,Clovis
CVS,Cannon AFB,CVN,34.38389,-103.316666,America/Denver,Clovis
CVO,Albany,CVO,44.63333,-123.11667,America/Los_Angeles,Albany
QWY,Albany Bus Station,CVO,,,America/Los_Angeles,Albany
CWF,Chennault International.,LCH,30.305918,-93.23189,America/Chicago,Lake Charles
LCH,Municipal,LCH,30.131111,-93.225555,America/Chicago,Lake Charles
CWG,Callaway Gardens,CWG,32.84028,-84.8825,America/New_York,Callaway Gardens
CWI,Clinton,CWI,41.829445,-90.33195,America/Chicago,Clinton
CWO,Ft Wolter AAF,MWL,32.8,-98.11667,America/Chicago,Mineral Wells
MWL,Mineral Wells Airport,MWL,32.783333,-98.066666,America/Chicago,Mineral Wells
CWS,Center Island,CWS,47.485,-122.83139,America/Los_Angeles,Center Island
CWX,Cochise County,CWX,32.25285,-109.83201,America/Phoenix,Willcox
CXC,Chitina Airport,CXC,61.583332,-144.42778,America/Anchorage,Chitina
CXF,Coldfoot,CXF,67.26667,-150.16667,America/Anchorage,Coldfoot
CXL,International,CXL,32.666668,-115.51667,America/Los_Angeles,Calexico
CXO,Montgomery Co,CXO,30.316668,-95.45,America/Chicago,Conroe
CYE,Crystal Lake,CYE,41.210278,-75.83222,America/New_York,Crystal Lake
CYF,Chefornak SPB,CYF,60.216667,-164.2,America/Nome,Chefornak
CYM,Chatham SPB,CYM,57.5,-135,America/Sitka,Chatham
CYS,Cheyenne,CYS,41.155834,-104.816666,America/Denver,Cheyenne
FEW,Warren AFB,CYS,41.13333,-104.816666,America/Denver,Cheyenne
CYT,Intermediate,CYT,60.08,-142.49445,America/Anchorage,Yakataga
CZC,Copper Centre,CZC,61.966667,-145.3,America/Anchorage,Copper Centre
CZF,Cape Romanzof,CZF,61.781113,-166.03639,America/Nome,Cape Romanzof
CZK,Cascade Locks/Stevens,CZK,45.666668,-121.9,America/Los_Angeles,Cascade Locks
CZN,Chisana Field,CZN,62.07083,-142.05,America/Anchorage,Chisana
CZO,Chistochina,CZO,62.566666,-144.66667,America/Anchorage,Chistochina
CZP,Cape Pole,CZP,55.966667,-133.78528,America/Sitka,Cape Pole
CZT,Carrizo Springs,CZT,28.516666,-99.86667,America/Chicago,Carrizo Springs
CZZ,Campo,CZZ,37.1,-102.583336,America/Los_Angeles,Campo
DAA,Davison AAF,DAA,37.5,-78.75,America/New_York,Fort Belvoir
DAB,Regional,DAB,29.185192,-81.06083,America/New_York,Daytona Beach
DAG,Barstow-Daggett,DAG,34.25,-117.333336,America/Los_Angeles,Daggett
DAN,Municipal,DAN,36.573055,-79.335,America/New_York,Danville
DAY,James Cox Dayton International,DAY,39.898006,-84.220764,America/New_York,Dayton
FFO,Patterson AFB,DAY,39.75,-84.2,America/New_York,Dayton
MGY,Dayton-Wright Brothers Airport,DAY,39.933334,-84.25444,America/New_York,Dayton
DBN,Municipal,DBN,32.561943,-82.986115,America/New_York,Dublin
DBQ,Municipal,DBQ,42.41,-90.71083,America/Chicago,Dubuque
DBS,Dubois,DBS,44.166668,-112.23333,America/Boise,Dubois
DCK,Dahl Creek Airport,DCK,66.95,-156.9,America/Anchorage,Dahl Creek
DCU,Pyor,DCU,34.6,-86.98333,America/Chicago,Decatur
DDC,Dodge City Municipal,DDC,37.761665,-99.965,America/Chicago,Dodge City
DEC,Decatur Airport,DEC,39.834167,-88.868614,America/Chicago,Decatur
DEH,Municipal,DEH,43.3,-91.8,America/Chicago,Decorah
DEO,Hyatt Regency Heliport,DEO,42.3,-83.166664,America/Detroit,Dearborn
DET,Detroit City,DTT,42.416668,-83.01667,America/Detroit,Detroit
DTW,Detroit Metropolitan Wayne County,DTT,42.20781,-83.35605,America/Detroit,Detroit
YIP,Willow Run,DTT,42.233334,-83.53333,America/Detroit,Detroit
DFI,Memorial,DFI,41.283333,-84.36667,America/New_York,Defiance
DGB,Danger Bay,DGB,58.083332,-152.75,America/Anchorage,Danger Bay
DGL,Douglas Municipal,DUG,31.35,-109.566666,America/Phoenix,Douglas
DUG,Bisbee-Douglas International,DUG,31.46861,-109.603615,America/Phoenix,Douglas
DGN,NAF,DGN,38.2,-88.683334,America/New_York,Dahlgren
DGW,Converse County,DGW,42.75,-105.4,America/Denver,Douglas
DHB,Deer Harbor,DHB,48.618397,-123.00596,America/Los_Angeles,Deer Harbor
DHN,Dothan Airport,DHN,31.32,-85.44833,America/Chicago,Dothan
DHT,Dalhart,DHT,36.066666,-102.51667,America/Chicago,Dalhart
DIK,Dickinson,DIK,46.833332,-102.9,America/Boise,Dickinson
DIO,Diomede Island,DIO,65.75,-168.95,America/Nome,Diomede Island
DJN,Delta Junction,DJN,64.03333,-145.68333,America/Anchorage,Delta Junction
DKK,Dunkirk,DKK,42.483334,-79.333336,America/New_York,Dunkirk
DLF,Laughlin AFB,DRT,29.366667,-100.9,America/Chicago,Del Rio
DRT,Del Rio International,DRT,29.333332,-100.97833,America/Chicago,Del Rio
DLG,Municipal,DLG,59.04246,-158.51472,America/Anchorage,Dillingham
DLH,Duluth International,DLH,46.838974,-92.18019,America/Chicago,Duluth
LKI,Lakeside USAF,DLH,46.783333,-92.1,America/Chicago,Duluth
DLL,Dillon,DLL,34.416668,-79.36667,America/New_York,Dillon
DLN,Dillon,DLN,45.216667,-112.63333,America/Denver,Dillon
DLO,Dolomi,DLO,55.122223,-132.05,America/Sitka,Dolomi
DLS,Columbia Gorge Regional/The Dalles Municipal Airport,DLS,45.6,-121.166664,America/Los_Angeles,The Dalles
DMN,Deming,DMN,32.266666,-107.75,America/Denver,Deming
DMO,Sedalia,DMO,38.704166,-93.18056,America/Chicago,Sedalia
DNN,Municipal,DNN,34.766666,-84.96667,America/New_York,Dalton
QJJ,FlightLink Bus Station,DNN,34.7698021,-84.9702228,America/New_York,Dalton
DNS,Municipal,DNS,42.016666,-95.35,America/Chicago,Denison
DNT,Downtown Heliport,SNA,33.766666,-117.86667,America/Los_Angeles,Santa Ana
JOC,Centerport Heliport,SNA,33.666668,-117.869446,America/Los_Angeles,Santa Ana
SNA,John Wayne,SNA,33.680202,-117.860535,America/Los_Angeles,Santa Ana
DNV,Vermilion County,DNV,40.197224,-87.59695,America/Chicago,Danville
DOF,Dora Bay,DOF,55.2125,-132.26666,America/Sitka,Dora Bay
DOV,Dover AFB,DOV,39.128613,-75.464165,America/New_York,Dover-Cheswold
DPG,Michael AAF,DPG,40.233334,-112.75,America/Denver,Dugway
DRA,Desert Rock,DRA,36.666668,-115.96667,America/Los_Angeles,Mercury
DRE,Drummond Island,DRE,46.016666,-83.75,America/Detroit,Drummond Island
DRF,Drift River,DRF,60.583332,-152.15,America/Anchorage,Drift River
DRG,Deering,DRG,66.0712,-162.75989,America/Nome,Deering
DRI,Beauregard Parish,DRI,30.85,-93.28333,America/Chicago,De Ridder
DRU,Drummond,DRU,46.666668,-113.15,America/Denver,Drummond
DSI,Destin-Fort Walton Beach Airport,DSI,30.383333,-86.5,America/Chicago,Destin
DSM,Des Moines International,DSM,41.532433,-93.64809,America/Chicago,Des Moines
DSV,Dansville,DSV,42.566666,-77.7,America/New_York,Dansville
DTA,Delta,DTA,39.38333,-112.5,America/Denver,Delta
DTH,Death Valley,DTH,36.5,-117,America/Los_Angeles,Death Valley
DTL,Municipal,DTL,46.82639,-95.88611,America/Chicago,Detroit Lakes
DTR,Decatur Island,DTR,48.516666,-122.833336,America/Los_Angeles,Decatur Island
DUA,Eaker,DUA,33.983334,-96.416664,America/Chicago,Durant
DUC,Halliburton Field,DUC,34.47222,-97.959724,America/Chicago,Duncan
DUF,Pine Island Airport,DUF,36.25833,-75.78889,America/New_York,Corolla
DUJ,Du Bois-Jefferson County,DUJ,41.178333,-78.89889,America/New_York,Du Bois
DUT,Emergency Field,DUT,53.89446,-166.54224,America/Nome,Dutch Harbor
DVL,Devils Lake,DVL,48.113056,-98.9075,America/Chicago,Devils Lake
DVN,Davenport,DVN,41.610558,-90.58861,America/Chicago,Davenport
DWH,David Wayne Hooks,HOU,29.75,-95.416664,America/Chicago,Houston
EFD,Ellington Field,HOU,29.6,-95.15,America/Chicago,Houston
HOU,William P Hobby,HOU,29.654512,-95.277016,America/Chicago,Houston
IAH,George Bush Intercontinental,HOU,29.983334,-95.34,America/Chicago,Houston
IWS,West Houston,HOU,29.816668,-95.666664,America/Chicago,Houston
JDX,Central Bus. District,HOU,29.766666,-95.333336,America/Chicago,Houston
JGP,Greenway Plaza Heliport,HOU,29.666668,-95.25,America/Chicago,Houston
JGQ,Transco Twr Galleria,HOU,29.766666,-95.46667,America/Chicago,Houston
JMA,Marriot Astrodome,HOU,29.983334,-95.34,America/Chicago,Houston
JPT,Park Ten Heliport,HOU,29.786388,-95.81167,America/Chicago,Houston
JWH,Westchase Hilton Heliport,HOU,29.73611,-95.41778,America/Chicago,Houston
JWL,Woodlawns,HOU,30.150557,-95.47139,America/Chicago,Houston
DXR,Danbury Municipal Airport,DXR,41.38333,-73.45,America/New_York,Danbury
DYL,Doylestown,DYL,40.316666,-75.13333,America/New_York,Doylestown
EAA,Eagle,EAA,64.776665,-141.1486,America/Anchorage,Eagle
EAN,Phifer Field,EAN,42.05,-104.96667,America/Denver,Wheatland
EAR,Kearney,EAR,40.728333,-98.998886,America/Chicago,Kearney
EAT,Pangborn Field,EAT,47.399723,-120.20778,America/Los_Angeles,Wenatchee
EAU,Chippewa Valley Regional Airport,EAU,44.864445,-91.48722,America/Chicago,Eau Claire
EBS,Municipal,EBS,42.466667,-93.816666,America/Chicago,Webster City
ECA,Emmet County Airport,ECA,44.266666,-83.48333,America/Detroit,East Tawas
ECG,Elizabeth City,ECG,36.259167,-76.17306,America/New_York,Elizabeth City
ECP,NW Florida Beaches Int,PFN,30.357803,-85.79892,America/Chicago,Panama City
PAM,Tyndall AFB,PFN,30.166668,-85.683334,America/Chicago,Panama City
ECS,Mondell,ECS,43.833332,-104.183334,America/Denver,Newcastle
EDA,Edna Bay,EDA,55.95,-133.66667,America/Nome,Edna Bay
EDE,Municipal,EDE,36.066666,-76.65,America/New_York,Edenton
EDG,Weide AAF,EDG,39.465668,-76.360916,America/New_York,Edgewood
EDK,El Dorado,EDK,37.816666,-96.86667,America/Chicago,El Dorado
EDW,Edwards AFB,EDW,35,-117.916664,America/Los_Angeles,Edwards
EED,Needles,EED,34.85,-114.61667,America/Los_Angeles,Needles
EEK,Eek,EEK,60.216667,-162.01666,America/Nome,Eek
EEN,Dillant-Hopkins,EEN,42.900833,-72.270836,America/New_York,Keene
EFB,Eight Fathom Bight,EFB,58,-135.73334,America/Juneau,Eight Fathom Bight
EFK,Newport,EFK,44.889442,-72.23,America/New_York,Newport
EFO,East Fork,EFO,,,America/Nome,East Fork
EFW,Municipal,EFW,42.016666,-94.38333,America/Chicago,Jefferson
EGE,Eagle County,EGE,39.63988,-106.91347,America/Denver,Vail
QBF,Vail Bus Station,EGE,39.6402638,-106.3741955,America/Denver,Vail
ZBV,Beaver Creek Bus Station,EGE,39.6402638,-106.3741955,America/Denver,Vail
EGI,Duke Field,VPS,30.483334,-86.5,America/Chicago,Valparaiso
VPS,Eglin AFB,VPS,30.495913,-86.54946,America/Chicago,Valparaiso
EGP,Maverick Co,EGP,28.702223,-100.48055,America/Chicago,Eagle Pass
EGV,Eagle River,EGV,45.92917,-89.26583,America/Chicago,Eagle River
EGX,Egegik,EGX,58.20778,-157.37029,America/Anchorage,Egegik
EHM,Cape Newenham,EHM,58.64722,-162.06056,America/Nome,Cape Newenham
EHT,Rentschler,EHT,41.766666,-72.65,America/New_York,East Hartford
EIL,Eielson AFB,FAI,64.85,-147.71666,America/Anchorage,Fairbanks
FAI,Fairbanks International Airport,FAI,64.818214,-147.8668,America/Anchorage,Fairbanks
FBK,Ft Wainwright,FAI,64.833336,-147.7,America/Anchorage,Fairbanks
